name,url,move_index
pound,https://pokeapi.co/api/v2/move/1/,1
karate-chop,https://pokeapi.co/api/v2/move/2/,2
double-slap,https://pokeapi.co/api/v2/move/3/,3
comet-punch,https://pokeapi.co/api/v2/move/4/,4
mega-punch,https://pokeapi.co/api/v2/move/5/,5
pay-day,https://pokeapi.co/api/v2/move/6/,6
fire-punch,https://pokeapi.co/api/v2/move/7/,7
ice-punch,https://pokeapi.co/api/v2/move/8/,8
thunder-punch,https://pokeapi.co/api/v2/move/9/,9
scratch,https://pokeapi.co/api/v2/move/10/,10
vice-grip,https://pokeapi.co/api/v2/move/11/,11
guillotine,https://pokeapi.co/api/v2/move/12/,12
razor-wind,https://pokeapi.co/api/v2/move/13/,13
swords-dance,https://pokeapi.co/api/v2/move/14/,14
cut,https://pokeapi.co/api/v2/move/15/,15
gust,https://pokeapi.co/api/v2/move/16/,16
wing-attack,https://pokeapi.co/api/v2/move/17/,17
whirlwind,https://pokeapi.co/api/v2/move/18/,18
fly,https://pokeapi.co/api/v2/move/19/,19
bind,https://pokeapi.co/api/v2/move/20/,20
slam,https://pokeapi.co/api/v2/move/21/,21
vine-whip,https://pokeapi.co/api/v2/move/22/,22
stomp,https://pokeapi.co/api/v2/move/23/,23
double-kick,https://pokeapi.co/api/v2/move/24/,24
mega-kick,https://pokeapi.co/api/v2/move/25/,25
jump-kick,https://pokeapi.co/api/v2/move/26/,26
rolling-kick,https://pokeapi.co/api/v2/move/27/,27
sand-attack,https://pokeapi.co/api/v2/move/28/,28
headbutt,https://pokeapi.co/api/v2/move/29/,29
horn-attack,https://pokeapi.co/api/v2/move/30/,30
fury-attack,https://pokeapi.co/api/v2/move/31/,31
horn-drill,https://pokeapi.co/api/v2/move/32/,32
tackle,https://pokeapi.co/api/v2/move/33/,33
body-slam,https://pokeapi.co/api/v2/move/34/,34
wrap,https://pokeapi.co/api/v2/move/35/,35
take-down,https://pokeapi.co/api/v2/move/36/,36
thrash,https://pokeapi.co/api/v2/move/37/,37
double-edge,https://pokeapi.co/api/v2/move/38/,38
tail-whip,https://pokeapi.co/api/v2/move/39/,39
poison-sting,https://pokeapi.co/api/v2/move/40/,40
twineedle,https://pokeapi.co/api/v2/move/41/,41
pin-missile,https://pokeapi.co/api/v2/move/42/,42
leer,https://pokeapi.co/api/v2/move/43/,43
bite,https://pokeapi.co/api/v2/move/44/,44
growl,https://pokeapi.co/api/v2/move/45/,45
roar,https://pokeapi.co/api/v2/move/46/,46
sing,https://pokeapi.co/api/v2/move/47/,47
supersonic,https://pokeapi.co/api/v2/move/48/,48
sonic-boom,https://pokeapi.co/api/v2/move/49/,49
disable,https://pokeapi.co/api/v2/move/50/,50
acid,https://pokeapi.co/api/v2/move/51/,51
ember,https://pokeapi.co/api/v2/move/52/,52
flamethrower,https://pokeapi.co/api/v2/move/53/,53
mist,https://pokeapi.co/api/v2/move/54/,54
water-gun,https://pokeapi.co/api/v2/move/55/,55
hydro-pump,https://pokeapi.co/api/v2/move/56/,56
surf,https://pokeapi.co/api/v2/move/57/,57
ice-beam,https://pokeapi.co/api/v2/move/58/,58
blizzard,https://pokeapi.co/api/v2/move/59/,59
psybeam,https://pokeapi.co/api/v2/move/60/,60
bubble-beam,https://pokeapi.co/api/v2/move/61/,61
aurora-beam,https://pokeapi.co/api/v2/move/62/,62
hyper-beam,https://pokeapi.co/api/v2/move/63/,63
peck,https://pokeapi.co/api/v2/move/64/,64
drill-peck,https://pokeapi.co/api/v2/move/65/,65
submission,https://pokeapi.co/api/v2/move/66/,66
low-kick,https://pokeapi.co/api/v2/move/67/,67
counter,https://pokeapi.co/api/v2/move/68/,68
seismic-toss,https://pokeapi.co/api/v2/move/69/,69
strength,https://pokeapi.co/api/v2/move/70/,70
absorb,https://pokeapi.co/api/v2/move/71/,71
mega-drain,https://pokeapi.co/api/v2/move/72/,72
leech-seed,https://pokeapi.co/api/v2/move/73/,73
growth,https://pokeapi.co/api/v2/move/74/,74
razor-leaf,https://pokeapi.co/api/v2/move/75/,75
solar-beam,https://pokeapi.co/api/v2/move/76/,76
poison-powder,https://pokeapi.co/api/v2/move/77/,77
stun-spore,https://pokeapi.co/api/v2/move/78/,78
sleep-powder,https://pokeapi.co/api/v2/move/79/,79
petal-dance,https://pokeapi.co/api/v2/move/80/,80
string-shot,https://pokeapi.co/api/v2/move/81/,81
